,Time_Start,Time_Stop,Time_Mid,RH,Dp,RI,GF,kappa
0,2024-06-10 11:05:54,2024-06-10 11:06:24,2024-06-10 11:06:09.000,85.492,200,1.5217,1.0849,0.046996062133362056
1,2024-06-10 11:06:24,2024-06-10 11:06:54,2024-06-10 11:06:39.000,85.5058,200,1.5246,1.1668,0.09975867095428044
2,2024-06-10 11:06:54,2024-06-10 11:07:24,2024-06-10 11:07:09.000,85.9047,200,1.5152,1.117,0.06459340642826156
3,2024-06-10 11:07:24,2024-06-10 11:07:54,2024-06-10 11:07:39.000,85.0599,200,1.511,1.0527,0.02925815174618369
4,2024-06-10 11:07:54,2024-06-10 11:08:24,2024-06-10 11:08:09.000,85.3783,200,1.5072,1.0139,0.007241176438640453
5,2024-06-10 11:08:24,2024-06-10 11:08:54,2024-06-10 11:08:39.000,84.15,200,1.5151,0.9608,0.11305031628951909
6,2024-06-10 11:08:54,2024-06-10 11:09:24,2024-06-10 11:09:09.000,83.2492,200,1.5293,1.0636,0.040884848020219904
7,2024-06-10 11:09:24,2024-06-10 11:09:52,2024-06-10 11:09:38.000,85.0494,200,1.5382,1.2856,0.19772509581385367
8,2024-06-10 11:09:52,2024-06-10 11:10:20,2024-06-10 11:10:06.000,85.9456,200,1.5444,1.2137,0.12883651149484385
9,2024-06-10 11:10:20,2024-06-10 11:10:48,2024-06-10 11:10:34.000,86.8075,200,1.5402,1.2026,0.11234788981611496
10,2024-06-10 11:10:48,2024-06-10 11:11:17,2024-06-10 11:11:02.500,85.708,200,1.537,1.2943,0.19480454333089364
11,2024-06-10 11:11:17,2024-06-10 11:11:56,2024-06-10 11:11:36.500,85.9135,200,1.5311,1.3234,0.21606612083559606
12,2024-06-10 11:11:56,2024-06-10 11:12:37,2024-06-10 11:12:16.500,86.0367,200,1.5264,1.2565,0.15965780597386858
13,2024-06-10 11:12:37,2024-06-10 11:13:41,2024-06-10 11:13:09.000,84.8827,200,1.5236,1.219,0.1445049758944577
14,2024-06-10 11:13:41,2024-06-10 11:14:07,2024-06-10 11:13:54.000,84.7495,200,1.5213,1.2244,0.1503583688529281
15,2024-06-10 11:14:07,2024-06-10 11:14:48,2024-06-10 11:14:27.500,84.6545,200,1.5068,1.219,0.14708173702874952
16,2024-06-10 11:14:48,2024-06-10 11:15:26,2024-06-10 11:15:07.000,84.8246,200,1.5194,1.1494,0.09276059398280678
17,2024-06-10 11:15:26,2024-06-10 11:16:10,2024-06-10 11:15:48.000,85.0464,200,1.5218,1.1173,0.06941574458182946
18,2024-06-10 11:28:05,2024-06-10 11:28:33,2024-06-10 11:28:19.000,84.7555,250,1.5382,1.4924,0.41799765572511494
19,2024-06-10 11:31:26,2024-06-10 11:32:19,2024-06-10 11:31:52.500,84.3764,200,1.5302,1.2297,0.1591508241656593
20,2024-06-10 11:32:19,2024-06-10 11:33:24,2024-06-10 11:32:51.500,84.6537,200,1.5368,1.2137,0.14282625012281555
21,2024-06-10 11:33:24,2024-06-10 11:34:47,2024-06-10 11:34:05.500,84.844,200,1.5482,1.1628,0.10221892517623998
22,2024-06-10 11:34:47,2024-06-10 11:35:13,2024-06-10 11:35:00.000,84.17,200,1.548,1.12,0.07615552144931434
23,2024-06-10 11:35:13,2024-06-10 11:35:38,2024-06-10 11:35:25.500,84.7593,200,1.5625,1.1655,0.10486677815388451
24,2024-06-10 11:35:38,2024-06-10 11:36:04,2024-06-10 11:35:51.000,83.784,200,1.5564,1.1334,0.08824903579395425
